리뷰,예측,확률
정말 깔끔하고 좋았습니다 친구와 함께 머물렀는데 청결도 최고였습니다 재방문하겠습니다,긍정,0.9238
푹 잘쉬었습니다 좋습니다푹 잘쉬었습니다 좋습니다 푹 잘쉬었습니다 좋습니다푹 잘쉬었습니다 좋습니다 푹 잘쉬었습니다 좋습니다푹 잘쉬었습니다 좋습니다 푹 잘쉬었습니다 좋습니다 푹 잘쉬었습니다 좋습니다,긍정,0.9256
무인체크인 편리 금연건물 로비 방 전체적으로 깔끔 공기 쾌적 다음에 재방문하고싶어요,긍정,0.9124
조식도 다 떨어져서 없다 하시고 욕조에 머리카락도 그대로고,긍정,0.9184
침대가 넓어서 편히 잘수있었던 것 같아요 그런데 문열고 들어가면 화장실에서 나는 냄새는 어쩔수 없는거 같았어요 좀 적응안되는 냄새랄까 그거 빼곤 괜찮았습니당,긍정,0.893
편안하게 집마냥 아늑해서 너무 쉬기 좋고 티비도 크고 욕실도 넓고 깨끗해서 항상 갈때마다 만족하면서 이용합니다,긍정,0.9249
앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천 앞에 편의점도 가깝고 주변 먹거리도 많아서 좋습니다 추천,긍정,0.9205
그동안 숙박했던 모텔 호텔 중 가장 최악이었습니다 저는 태어나서 저렇게 생긴 샤워기는 처음 봤네요 디자인과 성능 둘 다 매우 당황스러웠습니다 화장실이 방에서 동떨어져 있는 듯이 미친듯이 추워서 같이 샤워하는 건 상상도 못하고요 혼자 샤워도 힘들어요 온수조절도 잘 안되고 일단 사용하기 불편하고요 수압도 굉장히 약합니다 이틀 숙박했는데 겨우 샤워만 하고 머리 한번 감았네요 찝찝해서 미치는 줄 알았습니다 머리끈까지 샘플로 주시면서 샤워타올을 안주셨을리가 없을거라고 생각하며 샤워타올 계속 찾아봤었는데 결국 못찾았네요 이것도 이상했던 부분 중 하나입니다 직원분들도 딱히 친절하지 않아요 카운터에 서 계실 때 눈 마주쳐도 인사 절대 안해주시고요 말 걸면 겨우 안녕하세요 한마디 해주시더라고요 원래 싸우는 걸 매우 싫어해서 민원 거는 걸 최대한 자제하는 성격인데다가 침대 매트리스가 굉장히 좋길래 온갖 불편사항을 다 잊어버린 척 넘기려고 했었습니다 다행히도 외출 일정이 빡빡해서 마지막날까지 꾹 눌러 참았었고요 그런데 마지막날 결국 터졌네요 일단 이불이 오리털인데 오리털 이불이 아니라 털갈이 중인 강아지 한마리 덮고 잔 줄 알았어요 오리털이 공기중에 떠 다니더라구요 무슨 먼지마냥 의자에 걸쳐 놨던 옷에도 오리털이 잔뜩 묻어서 털기 힘들었습니다 그리고 가장 중요한 건데요 박시에 사용했던 수건과 콘돔포장지를 바닥에 던져두고 외출했었는데 돌아와서 보니까 전부 사라져있더라고요 쓰레기만 치워져있었으면 우리가 치워놓고 착각했나보다 하고 넘길텐데 사용했던 수건이 전부 새 수건으로 바뀌어 있었던 걸 보니 누군가가 들어왔던 게 확실해서 못넘어가겠네요 우리가 박일 예약하면서 같은 방으로 배정해달라고 예약시에 전화 문의했었고 입실시에 확인하면서 청소 필요 없으니까 숙박기간동안 방에 들어오지 말라고 분명 말씀드렸는데 왜 허락도 없이 마음대로 들어오셨죠 들어오지 말라고 요구사항을 전달했는데도 왜 무시하고 외출시간대에 몰래 들어오시나요 시설도 최악이고 서비스도 최악이네요 지리적 위치 제외하곤 장점이 하나도 없는 숙박업소에요 샤워기도 매우 옛날식 기계 같고 커튼도 그을림 비슷한 자국이 곰팡이처럼 남아있던데 시설 정비도 안하면서 이름만 호텔로 달아두고 호텔가격 받고 장사해도 되나요 모텔이었어도 다시는 가고싶지 않았을텐데요 마지막날 퇴실할때 한바탕 따지고 나오려다가 따져봤자 변하는 것도 없을 거 같아서 차라리 다른 분들 보시고 거래 신중하게 다시 고민해 보셔서 피해자가 덜 생길 수 있도록 후기 남깁니다,부정,0.0407
예약 급하게 잡고왔는데 엄청 친절하시고 방도 업그레이드 해주셨어요 근처에 있는 방보다 리모델링 진행 했는지 깨끗하고 깔끔합니다 다음에 근처 다시 방잡을 일 있으면 꼭 예약하고싶어요,긍정,0.9075
가장청결하고 좋습니다,긍정,0.9362
자주가는데 오늘은완전실망이요 카펫에는치킨뼈랑 부스러기가그대로잇고 욕실에는 누가쓴건지 수건이그대로 자주가는데 그려려니햇지만 충격이 쉽게안없어지네요 신경써야할거같아요,긍정,0.8904
자는데 복도에서는 막 소리지르고 배정 받은 방 상태는 넷플릭스 사용하려고 비번 문의 하니까 안되는 비번 불러주고 그거 안되면 자기도 모른다고만 말하시고 드라이기는 바람도 약한데 켜지고 초 후에 멋대로 꺼지고 사장님 문의 태도 덕분에 이제 앞으로 이용할 일은 없을꺼 같아요 배째라 운영 잘 봤습니다,긍정,0.764
가성비 갑이에요 물 잘 나오고 따뜻하고,긍정,0.923
예전에 정말 청결 상태가 별로 여서 안오다가 첫 고객인듯 해요 세면용품이 한참 펌핑해야 나오더라구요 그런데 아직 부족한게 넘 많네요 거울도 없고 드라이도 예전꺼 그대로 옮겨놔서 별로였어요 도 다 된다해서 예약한건데 넷플만 인증이 안되서 문의드렸는데 확인 해볼 생각없이 된다고 했다는 말만 계속하십니다 에어컨도 아직 안된답니다 너무 준비 안된상태에 손님받은거 아니냐고 했더니 끊어버리셨습니다 주말마다 전주를가서 방을 잡는 사람으로써 느낌은 사장님 마인드가 귀기울여 들으시지 않으십니다 처음이라 깨끗한거지 오픈빨 끝나면 예전으로 돌아갈 것 같습니다,부정,0.041
에어컨에서 물이 떨어져서 불편합니다 틀지도 않았는데 물 떨어지는 소리때문에 잠자기 힘들어요,긍정,0.9148
컴퓨터에 게임은 많이깔려있지만 되는 게임이 없음,긍정,0.9237
시설이나 청결도는 좋지만 방음이 전혀 안됩니다 이런 곳 처음이였어요 옆 방에서 새벽까지 대화하는 소리도 들리고 너무 시끄러워서 잠을 못 잤습니다 정말 대화하는 소리가 들린다는거에 놀랬습니다 개선이 필요해보입니다,긍정,0.8645
나름 괜찮았습니다 흡연냄새가 났지만 어쩔수 없죠 사장님이 페브리즈 줘서 뿌렸어용,긍정,0.916
퇴실 후 짐도 맡겨주셔서 좋았어용 스타일러도 있어서 비가 왔었는데 옷 말리기도 좋았구용 안마의자도 있어서 여행의 피로를 그날밤에 풀수 있었어용 버스터미널이랑도 가까워서 강추,긍정,0.8962
초저녁에 있으신 여자분은 불친절합니다,긍정,0.9276
엄청 깨끗 합니다 이번주가 전주 출장인데 계속 이용예정 입니다,긍정,0.9204
새로 오픈해서 깨끗하고 좋아요,긍정,0.9328
설립일이 긴만큼 낡았다 생각 할 수 있지만 왠만한 모텔보다는 좋습니다 주차 공간도 넉넉하고 한옥마을까지 걸어서 분 내로 갈 수 있고 호텔 주변이 번화가 각종쇼핑및 편의시설이 많아서 좋습니다 그리고 배드 이건 진짜 지금껏 나름 여기저기 숙소 많이 묵어 봤지만 적당히 푹신하고 이불도 딱 덥지도 않게 따뜻해서 너무 편하게 숙면했습니다 여행에서 젤 중요한게 잠 이거 하나로만 별 개 입니다 가성비 최고입니다,긍정,0.8849
결론 가성비나 서비스 시설 이용도 모두 애매 화장실까지 포함하여 패밀리 객실인데도 서울보다 좁음 인포데스크 카운터 직원들이 교대된 인원까지 다 봤는데 친절한 사람이 명도 없음 엘리베이터 대 밖에 없어 가뜩이나 전체 수용하기 느린데 대는 늦은 시간까지 점검해서 불편했음 객실 카드키가 갑자기 먹통되서 귀찮은 일 있었음 침대나 수건 등 전반적으로 청결함 주변에 맛집이나 산책 쇼핑할 공간들이 있음 바로 앞에 편의점있음 서비스로 주는 커피는 맛있었음 지리적으로는 호텔이 여러모로 괜찮은데 이번 이용 경험을 보면 그 옆에 있는 글로스터를 갈 정도로 만족도가 떨어짐,부정,0.0399
사장님 날짜 착각한 건 제 잘못인 거 인정하지만 다른 날로 미뤄서 다시 이용도 안 된다고 못을 박으시는 건 개인적으로 너무 야박하신 것 같아요 한 두 번 이용한 숙소도 아니었는데 다른 숙소에서 날짜를 착각하고 잘못 예약을 한 후 예약한 날이 지나고 그 다음 날 방문했을 때 지금이라도 이용 가능하다고 안내를 받았었는데 여기는 이미 완료가 된 거니까 어쩔 수 없다고 하네요 규정상 뭐 안된다고 하시면 그 다른 숙소는 어떻게 변경해 주신걸까요 그건 그냥 사장님 재량으로 융통성 있게 해주실 수도 있는 부분 아니었을까요 제 잘못이긴 하지만 유도리 있게 바꿔주셨으면 저도 그 기억에 계속 재방문 했을텐데 돈 날린 셈 치겠습니다 이제 두 번 다시 방문할 일은 없을 것 같아요 수고하세요,부정,0.0404
주차공간 적습니다 외부에 주차해놓고 들어갔어요 주말에 원으로 사용했습니다 허름한건 둘째치고열쇠사용 들오가자마자 건물 자체에 은은하게 담배냄새가 나고 방에 들어가서도 담배냄새납니다 스타일러가 있어서 도착하자마자 바로 옷 넣어놨어요 냄새배기니까 그리고 침대에 유리조각같이 작은 알맹이들이 있어서 뒤척이면서 몸에 상처났어요 씻을때 따갑 화장실안에 재떨이가있어서 불키면 환풍구로 냄새가 계속 들어오더라구요 불 안키고 씻었습니다 흡연자한테는 좋은데 비흡연자한테는 별로인,부정,0.2757
전주 첫여행이었는데 깔끔하고 좋아요,긍정,0.932
늘 전주오면 묵는 곳인데사장님은 친절하세요근데 바닥 곳곳 머리카락에 먼지가 수북하더라구요또 너무 건조해서 밤새 고생했습니다의류 스타일러가 필요한게 아니라 가습기가 필요한거 같아요,긍정,0.8961
위치 좋고 전화했을때나 로비에 계신분이나 정말 친절하시고 저렴했지만 녹슨 샤워기랑 화장실 손잡이 손도 못댈정도라 그냥 문 열고 씻었어요 숙소 상태가 이런건 태어나서 처음 뭐 묻어있는 침대시트 벌레는 없었지만 청결이 꽝이라서 다음엔 안 갈 것 같아요,긍정,0.8805
주변에서 젤 깔끔해여,긍정,0.9338
일째이용중입니다 편리하고 즐거운시간보내기좋아요,긍정,0.9288
너무 깨끗하고좋네요 전주 원톱,긍정,0.9307
늦게 입실하기도 했지만 사진이랑 다른방이 나오고 화장실 샤워실문도 다 안닫히고 불편했습니다 청결은 나쁘지않았습니다,긍정,0.9011
이곳은 오픈시 부터 방문 할때마다 거의 대부분 로비에 뭔가 이슈가 있네요 이번 방문에서 사용한 방은 안마의자 설치되어 있는 방이었는데 들어갈때 부터 예전과는달리 담배냄새가 심하게 났습니다 환기를 해도 사라지지 않단데 룸 컨디션이 너무 별로였네요 침대 시트에 노란 얼룩이 있는 것도 스타일러 내부에서 퀘퀘란 냄새가 나서 내부 살균 후에 사용한 점도 불만족 스러웠습니다 숙박업이라는게 항상 초심을 잃지 않고 룸컨디션을 유지하는게 가장 중요한데 벌써 변해가는 모습이 아쉽네요 다음 방문때 한번 더 보고 다른 숙소를 찾던지 해야겠습니다,부정,0.0537
매번잘이용하고있습니다,긍정,0.9334
들어가자마자 담배냄새 엄청 심했음 침대 엄청 딱딱했고 벽지시설 오래된데 너무 보였음 그래도 아주 싼 가격에 대실 사용햇어욤,긍정,0.902
겨울에 밖에 나가서 춥게 돌아다니지말고 따뜻한 방에서 쉬니까 좋았어요,긍정,0.9236
청결하고 친절한 브라이튼 입니다,긍정,0.9344
가격은 괜찮은데 베개에 털 몇가닥 있었네요 아침엔 공사소리에 시끄럽고 밤새벽엔 왜이렇게 문을 때려부수듯 닫는지 방음이 최악이였어요,긍정,0.8844
연박시에는 시트는 교환하지않는다고 하니 미리 알아두시면 좋을거같습니다 그리고 서비스가 너무 별로네요 시트때문에 객실청소를 요청하고 외출을 다녀왔는데 베게 침대 이불 시트는 전부 그대로라 문의드렸더니 원래 연박시엔 시트교환이 없다하시면서 그래도 방을 바꿔주신다고 하셔서 짐을 다 빼고 층으로 키를 받으러 내려갔습니다 하지만 층을 내려가니 전화하셨던 남자분이 아닌 사장님으로 보이는 여자분이 원래 연박비 안받는대신 그런걸 안하는거라고 이용하시는분들 다들 그렇게 알고계신다라고 말하시더라구요 그러면서 청소요청할때 시트청소를 요청한다고 말해줬으면 됐을텐데 왜 따로 말안했냐는데보통 텔이용하면서 청소해달라고하면 그 객실 전체 세팅을 다시 해달라는 소리지않나요 이미 전화로 들은 얘기를 또 하시는 이유가 뭔가했더니 막상 방을 바꿔주려고하니 저희가 묶던 방을 다시 못파니까 못바꿔주시겠다고 하시네요 숙소입장도 이해가 안가는건 아니라 알겠다하고 대신 추가시트만 주시면 저희가 알아서 깔고잔다고하니 그렇게 오염된거냐면서 옆에 남자직원분도 있는 층 카운터에서 생리를 묻힌거냐고 물으시는데 솔직히 너무 당황했네요 당황해서 그냥 찝찝해서 그렇다 하고 올라와서 밖에 빼두었던 짐을 다시 넣었습니다 하근데 추가시트 가져다 주시면서 하시는 말이 또 연박은 시트를 안가는거라고 하시면서 세탁비 얘기까지 꺼내시더라구요 이정도가되니 저도 화가나서 전화로 방바꿔주신다하셔서 저희도 짐 다 뺏다가 넣었고 층에서도 그냥 알겠다고하고 올라왔는데 그런 부분에 대한 사과는 전혀없으시냐 하시니 그건 자기가 잘몰라서 잘못안내한거고 아래있던분이 사장님이라 그분이 말하는게 맞다고 하시는거보고 그냥 대화를 포기하고 들어왔습니다 다신 이용안할거같네요,부정,0.0395
그냥저냥 무난하게 즐길 곳 입니다 다만 드라이기가 너무 약해서 아쉬웠어요,긍정,0.9157
현관문 천장이 뜯어져서 무서웠어여 그리고 티비도 안되구요 에어콘도 약풍은 안됨요 한시간 간격으로 테이블 아래에서 모더소리가 드리더라구요,긍정,0.8982
일단 브라운도트 호텔 객실 자체가 조용한 곳에 있어서 좋았구요 사장님께서 친절하시고 객실 컨디션이 좋았어요 따뜻한 느낌의 조명도 자는데 더 포근하게 잘 수 있었던것 같아요 난방 에어컨도 잘되고 추천합니당,긍정,0.9068
바닥이 차갑고 수압이약해요,긍정,0.9289
극한의 담배쩌든내 내가 다녀본곳중 젤 최악의냄시 담배냄새 난다고 말씀드리니 다른곳도 다 똑같을거라는 답만 방향제 얻어서 한번 뿌릴수있는 기회줌 청소 깨끗하게 안하는듯 화장실이 특이하게 갠데 변기욕조샤워 나머지는 제대로 안봤지만 변기있는곳만해도 벽에 오줌인지 커핀지 누런색물이 여기저기 발라져있음 닦으면 닦일듯한데 청소를 안하는듯 욕조에는 날파리 시체가 많습니다 어디서 들어오는지 물받으면 물에 둥둥뜸 침대도 겁나 딱딱함 눕자마자 엥 했음 그냥 딱 가격대비 싼곳은 싼 이유가 있당 컴퓨터와 안마의자는 잘 사용했습니다,부정,0.0408
왠만하면 리뷰 좋게 남기고 싶었는데요 너무 별로여서 사진도 못 찍었네요 전 객실 금연이라고 했는데 방에 담배 쩐내랑 다른 이용객이 화장실에서 담배를 피워서 화장실 타고 올라옵니다 리뉴얼 되기 전에 한번 가고 리뉴얼 되었다고 해서 기대 많이 했는데 정말 실망했어요 일단 담배 냄새에 약하신 분들은 완전 비추천입니다,긍정,0.8244
청소 안하네요 피붙은 시트와 이불 정말 훌륭했어요,긍정,0.9224
리모델링해서 인테리어 완전 깔끔하고 방안 냄새 청결 완전 짱입니다 넷플릭스 되고 샤워부스도 수압 짱입니다 침구도 푹신하구요 사장님 친절 그래서 그런진 몰라도 웨이팅은 처음 입니다,긍정,0.9033
굉장히 만족스러웠어요 계속해서 저렴하게 쿠폰을 제공해 주신다면 전북대 앞에서는 이것만 이용할 것 같습니다 위치도 좋고 깔끔하고 인테리어도 너무 맘에 들구요 쾌적하게 관리를 잘하시는 것 같아요,긍정,0.9104
좋습니다요 깡끔하고 굿,긍정,0.9335
좋고 깨끗하고 좋아요,긍정,0.937
길 옆이라 소음이 있고 밤늦게 까지 윗층에서 떠들고 시끄러워요물내리는 소리 샤워소리등방음이 안됨,긍정,0.8965
항상 깔끔하고 좋습니다 다음에 또 이용할게요,긍정,0.9366
대실 시간 길어서 정말 좋아요 항상 만족합니다 넷플릭스도 되고 정말 좋아용 바로 앞에 미니스톱 있고 사장님 친절하셔서 너무 만족합니다 자주 이용하는데 항상 좋아용,긍정,0.9211
화장실문계속열려요 에어컨이 너무안시원하고 허유주인님은 너무 착하세요,긍정,0.9129
숙소에 바퀴벌레 큰게 나와서 이제 사용 못할거 같아요,긍정,0.9222
깨끗하고 조용합니다,긍정,0.9373
전주 브라운도트 중화산점은 전주에 출장 갈 때마다 큰 고민 없이 선택하는 숙소입니다 시내 한 중간에 있어서 이동하기도 편리하고 주변에 먹을거리가 많아서 약속 잡기도 좋습니다 주차 공간이 제 주차장까지 넓게 잘 되어 있어서 주차가 불편했던 적은 한번도 없네요 룸 관리도 매우 청결하게 잘 되어 있고 따뜻합니다 멀리 출장이 자주이신 분들은 한 번쯤 이용해 보시면 좋을 것 같습니다 이 정도로 가성비 좋은 숙소 잘 없거든요 다음 전주 출장에도 숙소 예약은 중화산 브라운도트입니다,긍정,0.8712
곰팡이에디션 방을 배정받았다 음,긍정,0.9202
주째 전주일정 땜에 자주 숙박하는 호텔인데 방크기 넓고 답답하지않고 편합니다 하루의 피로를 스파욕조에서 풀고 편한 침대에서 숙면을 취합니다 직원 친절하고 방배정도 잘해주시고 정말로 괜찮고 좋습니다,긍정,0.9017
냉장고 곰팡이로 물 사서 마심 커피포트 물있음 세면대 물곰팡이 바닥 찝찝한데 실내화가 없네요 전 날에 예약하는 바람에 숙소가 없어서 별점높고 가성비괜찮겠다 싶어 했더니 사진을 엄청 잘 찍으셨네요,긍정,0.8758
깨끗하고 좋아요하루 잘쉬다 갑니다,긍정,0.9344
벽지가모기죽은게너무많고하,긍정,0.9267
침대가 넓어서 편히 잘수있었던 것 같아요 그런데 문열고 들어가면 화장실에서 나는 냄새는 어쩔수 없는거 같았어요 좀 적응안되는 냄새랄까 그거 빼곤 괜찮았습니당,긍정,0.893
항상 잘 쉬다갑니다,긍정,0.9368
에어컨 너무 약함 개선이 필요함,긍정,0.9275
우선 전주여행와서 잠만 잠시 잘꺼라 저렴한 곳으로 잡았어요 후기가 괜찮아서 예약했었는데 우선 위치가 정말 시내길 가운데 있어요 단점이자 장점이겠지만 도보로 이용하시는 분들은 좋을 것 같아요 하지만 차로는 매우 불편했어요 엄청 좁고 주차장이 정말정말 협소했어요 그리고 객실 안 위생은 쫌 별로였어요 벌레 자국은 엄청많은게 기본이고 침구류 화장실 등 깨끗한 편은 아니였어요 조금 찝찝했어요 방안에 들어가자말자 냄새가 많이 났고 수건도 그렇구요 내부도 많이 오래된 게 느껴지실꺼에요 엄청 옛날집 같다 생각하시면 될것같아요 화장실도요 뜨거운물도 엄청 오래 틀어나야 나오고 건조하고 추웠어요 아쉽지만 재방문의사는 없어요 정말 딱 잠만 잘 분들만 이용하세요,부정,0.0416
압도적으로 긍정적,긍정,0.9307
윌달에 모기가네마리 잡고도 모기 때문에 잠을 못잠한 방에 모기가 이렇게 많을수가 있을까 신기해요결국 새벽에 마스크쓰고 모기약 잔뜩뿌리고 잠을청함그래도 생명력 강하놈들이 계속 공격이 들어와 결국 거의 잠을 못잠,긍정,0.8641
항상 이용하는 숙소입니다 티비가 커서 영화보기에 딱 좋아요 인테리어나 내부도 깔끔하고 좋습니다 무엇보다 다른곳보다 대실시간이 길어서 매번 이용하게 됩니다 다음에도 또 예약할게요,긍정,0.9159
잘자고 갑니다,긍정,0.9363
길 옆이라 소음이 있고 밤늦게 까지 윗층에서 떠들고 시끄러워요물내리는 소리 샤워소리등방음이 안됨,긍정,0.8965
깨끗하고 사장님 친절하세요,긍정,0.9329
자주 애용 하는 투썸 호텔 입니다 늘 항상 깨끗해서 자주 애용하는 편입니다 주차장도 넓고 사장님 께서 정말 친절 하셔서 너무 좋습니다 그리고 투썸은 침대가 진짜 편해서 좋아요 다음에도 또 이용할게요,긍정,0.9142
추워요 현관부터 디퓨저가 개정도 배치되어 있는데 냄새때문에 두통이 생길 지경이었고 카운터에 계신 분 퉁명스럽습니다 주말마다 전주 갈 일이 있어 가족여행 겸 회차 묵었던 숙소중에 가장 비쌌고 가장 낙후되었고 가장 불친절 한 곳이었습니다 기준인원이 인이라 인원추가비용 인당 만원씩 만원포함 총 원 천원 쿠폰적용 받은금액 추가비용 지불 후 받은 이불이 저것입니다 파티룸이라는데 변변찮은 테이블이 없어 낮은좁은 테이블 중앙이 푹 꺼진 쇼파에서 겨우 음식 몇가지 펼쳐먹었고 침대도 작은사이즈라 친정아버지는 그 푹꺼진 쇼파에서 주무시려다 허리가 아피 한숨도 못 주무셨다합니다 리뷰보니 여기만 이용하신다는 분들 계시던데 디퓨저냄새를 좋아하시나 봅니다,부정,0.0462
여기 한두번 온게 아닌데 대체적으로 방음이 잘안됩니다 새벽 내내 위층에서 뭐하는지 쿵쿵 발로 망치처럼 찍으면서 걷고 술먹는소리가 화장실로 들릴정도입니다 자다 세네번 깨서 제대로 못자고 나왔네요 평일 출장시에 이용했는데 그동안 어느정도는 감수했으나 이번에는 정말 잠을 제대로 잘수가 있어야죠 아쉽지만 재방문 이제 없습니다 새벽남자직원분 불친절도 한몫한듯,긍정,0.582
놀러가면서 이용했어요 침대가 굉장히푹신해서 잘잤어요 아그리고 보일러를 못틀었는데 티비뒷쪽에있더라구요 저희는 조금춥게잤지만 이용하실분은 보일러틀고주무세요,긍정,0.9042
너무 더러워서제가 방을 닦앗네요씻고나왓는데발바닥이 껌하게되어서 놀랫습니다,긍정,0.915
일부러 창문이 없는 방으로 주신건지 금연룸이라고는 하지만 핑계같이 느껴졌습니다 금연룸은 창문이 없어야 하는 것도 아니고 와이케이 힌두번 가본 것도 아닌데 금연룸은 너무 답답합니다 금연룸으로 드릴까요 하면 창문있는 방으로 달라고 하세욥,긍정,0.8735
저렴한 가격이랑 넓고 푹신한 침대라는 메리트가 있지만 청소상태가 깨끗하지 않습니다 매트에는 김치국물같은게 묻어있고 이불보는 군데군데 구멍도 나있고 화장실 타일은 깨져서 휴지를 박아놓음 장점과 단점이 뚜렷함,긍정,0.8801
방청소 안되어 있고 침구류 교체 안하고 화장실도 엄청 더러워요만원만 받으면 될 듯,긍정,0.9043
모텔 단지내의 한곳 주차는 약 대정도면 만차일듯 화장실 변기가 거의 고장직전 핸드폰 충전기 파손되어있음 전체적으로 시설적인면은 만족되지 못한 곳임,긍정,0.8858
이용시간이 덜 끝났는데도 객실 전기가 나갔습니다 잠깐 꺼진 줄 알고 조명 버튼을 여러번 눌렀는데도 켜지지 않았네요 퇴실 분 전이었는데도 불이 꺼지다뇨 입실도 입실 시간 분 넘어서 들어온 거였습니다 제가 저녁에 대실했습니다 입실 할 때 사장님께서 왜 대실을 했냐는 듯한 혼잣말을 하시던데 기분이 나빴습니다 여자 사장님이신 것 같은데 좀 더 친절하게 부탁드립니다,긍정,0.7742
정말 비추입니다 여행 다니면서 다녀본 숙소중 젤 별로예요 이름을 여관으로 바꾸셔야할듯요 전주시내 한복판에 있는건 맞아요 근데 가는길도 사람들 다니는 중심가 통해서 가야해서 차가지고 가면 완전 불편해요 지역마다 관광호텔있어서 그래도 주차장도 불편해요 중간은 하겠지 했는데 좀 심하네요 늦게들어가서 하룻밤 자는거여서 그냥 암말안했네요 화장실 문앞뒤로 곰팡이있어요 이건 휴지로한번 슥 닦아도 얼추지워지는데 그냥 청소를 안하는듯 베개커버도 뭐가 묻어있어요 그냥 안썻어요 그리고 프론트 직원도 불친절해요 그럴거면 모텔처럼 불투명 유리로 막고 일하세요,부정,0.045
프론트부터 진동하는 하수구 냄새는 방향제로 덮은듯 하고 문이 없는 욕실 낡은 시설은 그렇다치더라도 걸레보다 못한 수준의 다 떨어진 수건은 어떤 숙박업소에서도 볼수없는 것이었어요 아래층에 사람이 있는데도 계단쪽 수건 담는 포대옆으로 막 던지는 수건 등등떨어지는 소음도 무시 못합니다 싼게 이유가 있었나봅니다,긍정,0.8457
사장님이 친절하시고 시설도 좋고 분위기가 완전 맘에 들었어요 컴퓨터도 잘 돌아가네요,긍정,0.9207
전체적으로 불편함 없이 사용했습니다,긍정,0.9251
체크인 할때 사장님이 너무 친절하시고 여행오셨냐면서 근처 맛집도 알려주시고 해서 기분 좋은 전주 여행이 되었어요 가격도 착하고 객실도 깨끗하고 있을거 다 있어서 놓고온게 있어도 걱정없이 지냈어요 방도 춥지도 않고 덥지도 않은 딱 적당한 온도에 티비도 커서 누워서 티비만 주구장창 보고 있었네요 주차장도 넓고 근처에 무료 공영주차장이 있어서 주차 걱정은 안해도 돼요 다음에 또 전주 여행을 온다면 다시 한 번 들리고 싶을 정도로 만족한 숙박이였어요 좋은여행으로 마무리,긍정,0.8902
객실내 구조가 독특하네요 갠적으로 좀 불편한듯,긍정,0.9216
난방이 잘 되지 않고 바람이 너무 많이 들어옴 새벽에는 보일러도 끈 것 같음 평점 보고 갔는데 전혀 아님 도대체 누가 평점 남기는 거야,긍정,0.89
매번가도 최고에요,긍정,0.9335
저렴한 가격에 나쁘진 않았지만 자고 일어나니 몸이 간지럽고 두드러기가 생겼어요,긍정,0.9213
전주 모텔 중에 최고로 좋아요,긍정,0.9344
남편이 출장 스케줄 있을때마다 이용하는 곳이예요 다른데는 이용 안하더라구요 깔끔하고 중화산동에서 이용하기 제일 편안하다고 하네요 앞으로도 자주 애용할 것 같아요 감사합니다,긍정,0.9096
너무너무너무조앗어용,긍정,0.9318
새로 오픈한곳이라 깔끔하고 친절 엘리베이턴 없지만 고층이 아니라 사용에 큰불편함은 없었습니다 위치도 큰길 가깝고 앞에 큰 편의점 있어서 굿,긍정,0.9056
리모콘이 고장나있엇어요,긍정,0.9305
조용하고 깨끗해요 그래서 기분이 좋아요,긍정,0.9375
출장시 동료들과 함께 이용했습니다 가성비 엄청 좋은데 방 컨디션도 좋습니다 사장님 친절하시고 통 크신분이십니다 입실이 늦을 때는 큰방도 내어주십니다 같이 온 동료분중에 파티룸 주셨다고 자랑했음 지하에는 노래방 만화방 헬스 등 기타 시설들이 많이 있는데 가본다고 생각은 많이 해 보고 내려가 보지는 못 했네요 주차장도 많이 넓은 편이라 편리하고 만차가 되어도 주변 골목에 댈 수 있어 좋습니다 걸어서 이동가능한 거리에 식당들이 많이 있어서 맛있게 먹었습니다 출장시 또 이용할것 같네요 잘 쉬고 갑니다,긍정,0.8782
말해 머할까요 진심 이 가격에 이 정도 그냥 엄지척입니다사장님 사모님일하시는 분들도 넘 친절하시고 깔끔하고 리모델링 최상으로 굿두말할것이 없습니다 대천여행 오시는 분들 추천 강력 추천합니다리얼 굿,긍정,0.9008
늦은퇴실 너무 좋아유 편히 쉬다갑니당,긍정,0.9219
조아염이근처중에 시설도 젤좋고 다 좋네요 깔끔합니다 다음 또 이용할게료,긍정,0.9234
화장실에 화장지가 없네요 새벽 시 입실했는데 시부터 시까지 옆방에서 싸움나고 시끄러워 한숨도 못잤네요 그런일 있으면 근처 방들 다른곳으로 옮겨주거나 빠른대처하든지 해야지 시간동안 고성방가에 쿵쾅거렸는데 환불까진 아니더라도 아무 조치없었던게 잘 이해 안되네요,긍정,0.8687
여기 가격대비 짱짱 담에 전주 오면 또 갈 거에요 사장님 번창하세요,긍정,0.9229
잘 쉬다 갑니다 감사합니다,긍정,0.9355
깨끗하고 따뜻하고 좋아요,긍정,0.937
