리뷰,실제,예측
가 대나 있어 아이들이 너무 좋아했어요,중립,부정
깔끔해요 그런데 담배 냄새가 조금나요,중립,부정
객실 컨디션 좋고 충전기도 방에 구비되어 있어서 좋았어요 화장실도 깨끗하고 잘 이용했습니다 다만 베개 놓여 있는 부분 시트 위에 뭔가 부스러기 같은 게 있어서 제가 털어서 누웠는데 좀 찝찝하더라고요 청소를 조금 신경 써주시면 좋을 것 같아요,중립,긍정
일단 숙소가 안쪽에 있어 조용하고 청결 상태도 딱히 문제가 될만한 점은 찾지 못했고요 리뷰들 본 것들 중 가장 많이 지적됐던 엘베 냄새가 걱정됐는데 이젠 그런 걱정 안 하셔도 될듯해요,부정,중립
후기가 매우 좋아서 이용하였는데 시설은 사진과 똑같지만 객실 상태는 벽에 구멍도 많고 샤워기 고정 불량에 먼지도 많고 넷플릭스 이용할 때가 다른 곳보다 연결에서 이용하는 부분이 많이 불편했던 것 같네요 다른 곳보다 가격이 높았으면 이용하지 않았을 것 같네요,부정,중립
가격 대비 시간도 충분하고 깔끔하고 좋습니다 근데 방음은 잘 안되는 것 같아요 복도 소리 옆방 소리 신경 쓰이는 정도였네요,중립,긍정
침구 상태 및 청결상태가 너무 좋았습니다,중립,긍정
출장이 많은 관계로 여러 모텔 이용해 봤는데 정말 가성비로는 전주 최고입니다 겉외관에 살짝 불안한 마음이 없지 않아 있었는데 내부 시설이나 청결 등 흠잡을게 없네요 정말 잘 쉬다 갑니다,중립,긍정
항상 저렴하게 잘 이용하고 있어요 시설도 너무 깨끗하고 안마의자에 앉아서 티브이 볼 때가 제일 좋네요 계속 여기만 이용할 거 같아요 항상 저렴하게 잘 이용하고 있어요 시설도 너무 깨끗하고 안마의자에 앉아서 티브이 볼 때가 제일 좋네요 계속 여기만 이용할 거 같아요,중립,긍정
일단 룸 컨디션 깨끗하고 너무 좋았고 도 원하는 거로 빌려와서 들을 수 있었고 만화도 보고 싶은 거 골라서 재밌게 봤어요 다음에도 또 올 수 있음 숙박하고 싶은 곳이었습니다 감사합니다,중립,긍정
북대 근처에 갈 때마다 이용하는 데 매번 좋아요 이날은 침대 이불에 이물질이 조금 묻어있어서 바로 교체를 부탁드렸더니 교체해 주셨고 고데기가 고장 나 있어서 그 부분은 조금 아쉬웠습니다 매번 잘 이용하고 있는 만큼 조금씩만 더 신경 써주시면 더할 나위 없이 좋을 것 같아요,부정,중립
새벽에 들려 잘 이용했습니다 입실시간이 새벽이라고 해서 그 시간부터 시간을 주는 게 아닌 퇴실 시간은 정해져있으니 늦게 들어가실 분들은 참고하면 좋을 거 같아요,부정,중립
전체적으로 나쁘지 않았습니다 새 학기 특별 이벤트로 예약해서 모주 병 받았습니다 덕분에 모주 따로 사지 않아도 돼서 감사합니다 한옥마을까지 걷기엔 좀 먼듯해서 시내버스 정거장 정도 탔어요 침구류 깨끗하고 푹신하고 호텔 특유의 침구류 냄새가 덜 나서 좋았어요 특이하게 싱크대가 있더라고요 주차장 입구 출구 주차 간격이 넓지는 않아요 끝에 방이어서 방음 크게 신경 안 썼는데 중간 방이나 엘리베이터 근처는 시끄러울듯해요 복도 조명이랑 방 조명이 어두워요 천장에 히터가 침대 방향이라 너무 건조해서 껐는데 자면서 추웠어요 천장 히터에 가림막 설치 등 해야 할듯싶습니다 그래도 박 잘 쉬다 왔습니다,부정,중립
전체적으로 깔끔했어요 올라온 사진과 동일합니다 티브이도 크고 화장실도 넓어요 엘리베이터 있어서 다니기 편해요 객실에 큰 창이 있어서 답답하지 않고 침대에 전기장판 있어서 따뜻하게 머물다 갑니다 아 비치된 물 브랜드가 맛있어서 더 좋았어요 웅진 다음에 전주 오면 또 이용하고 싶습니다,중립,긍정
물 잘 나오고 금방 따뜻한 물 나와요 침대 편해요 방바닥 따뜻해요 주차공간 넓어요 체크인 아웃 빠르고 편리해요 엘베에서 내리면 담배 냄새가 나요 객실에서도 좀 나요 담배 냄새가 좀 나는 거 빼고 다 만족합니다,중립,긍정
늘 이용합니다 방은 만족 조식은 가성비 떨어지네요 해장국 드세요,중립,긍정
깔끔하게 잘 정돈된 숙소였습니다 안마기에 에어 드레서까지 있어서 겉옷을 에어 드레서에 넣고 미세먼지 관리 버튼을 누르고 나서 안마기를 이묭하면서 티브이를 보니 딱 좋은 휴일의 여유를 만끽할 수 있었어요 여러 가지로 맘에 드는 숙소라서 담에 또 방문할 예정입니다,중립,긍정
서비스 청결도 뭐 다 무난하게 좋았어요 대실 시간이 긴 편에 속하는 모텔이라 그 점이 좋아요 티브이 크고 잘 작동하고 피시도 게임 잘 돌아가네요 일회용품 제공 잘 되고 냉장고에 물도 충분했어요,중립,긍정
깨끗하고 주차장도 넓어요 아이스크림도 무료 객실에 냉장고가 없으니 주의하세요 객실 카드에 호실이 안 적혀있는 건 불편해요,중립,긍정
여자친구 전주 살아서 갈 때마다 여기 들름 굳,긍정,중립
그냥 그냥 그렇습니다 날파리가 많고 바닥이 청결하지는 않네요 그래도 저렴하게 잘 잤어요,중립,긍정
요즘 코로나 때문에 밖에는 돌아다니지 못하다 보니까 방 빌려서 시간을 보내는데 처음엔 너무 추워서 난방 틀면 너무 뜨거울 정도로 따뜻해서 너무 편하게 잘 쉬다 갈 수 있어서 좋습니다 매번 잘 쉬다 갑니다,중립,긍정
주차장이 있어 주차 편히 했어요 고속버스터미널 주변이라 버스 이용 시에도 이용이 편할 것 같아요 음식은 웬만한 곳 매 민권이라 좋습니다 친절한 응대와 방 배정 받았습니다 객실 문을 열고 들어갈 때 제일 먼저 맡게 되는 게 냄새인데 쾌적했어요 비흡연자라 담배 냄새에 좀 민감한 편이거든요 시트와 커버는 청결했어요 화장실도 깨끗했어요 샴푸린스 보디워시가 비치되어 있고 일회용품 가방도 있어서 불편 없이 이용했어요 넓은 와 스타일러가 있어 좋았습니다,긍정,중립
환기도 엄청 잘되고 후기 보고 갔는데 너무 좋았습니다 담배 냄새에 예민한데 환기가 너무 잘 돼서 좋았어요,중립,긍정
모텔 같지 않은 디자인인 거 같아서 뭔가 놀러 온 느낌이었어요 관광호텔이라 그런가 다만 물을 사용하는 부분에서 물줄기가 약하고 온도조절이 시간대가 다른 객실하고 겹쳤는지 매우 힘들었습니다 나머지는 다 만족해요,중립,부정
대실로 머물다 왔습니다 일반실 갔는데 엄청 깔끔하고 신축이어서 시설 다 좋았어요 팩도 있고 침대도 엄청 푹신푹신해요 특히 여기 티브이가 엄청 커요 넷플만 로그인되어 있고 나머지는 내가 로그인해야 합니다,긍정,중립
솔직한 평으로 시설 괜찮습니다 주차장도 조성을 잘해뒀고요 로비에도 먹거리를 다양하게 구비해둬서 좋았습니다만 미리 예약을 하고 가방이 없다고 다른 방을 주신다는데 모텔 측 불찰로 인해서 다른 방을 내줘야 하는 상황이면 업그레이드를 해주는 게 고객 불만이 없지 않을까요 다운그레이드 시켜놓고 싫으면 취소해라란 식의 응대가 사람 어처구니없게 하더군요 앱 이용자분들은 전화를 해보고 가시길 권해드릴게요,긍정,중립
깔끔하고 넓어서 좋았어요 다만 이전에 이용할 땐 안 그랬는데 이번엔 화장실에서 냄새가 심하게 나더라고요 그 부분만 개선하면 더 좋을 거 같아요 층에 스낵바도 있고 화장실 빼곤 전반적으로 만족하고 갑니다,중립,긍정
직원분들 서비스가 좋네요 조식도 정성이 담겨있어요 영업 마지막 날이라네요 새 단장하면 재방문 하겠습니다,중립,긍정
여기 두 번 갔는데 너무 친절하시고 방도 따뜻하고 깔끔합니다 싼 가격이라 별로겠지 하고 넘기지 마시고 한번 방문해 보세요 저는 한번 가고 나서 가격이 싸니까 다른 모텔보다 시설이나 청결이 떨어지겠지 했던 생각이 싹 사라졌습니다 외풍 심한 호텔 모텔이 많아서 추운 날 방에서 옷도 못 벗을 정도로 추운 곳도 있고 더운 날 옷을 벗고 에어컨을 틀어도 더운 곳이 있는데 여긴 그런 스트레스 없이 좋았습니다,중립,긍정
화장실 배수구 물이 너무 안 빠져요 공사가 필요할 거 같아요 샤워기 수압이 너무 약해요 공간은 넓어서 좋아요 조명도 밝아서 좋아요,긍정,중립
잘 쉬다 갑니다 리뷰가 늦었네요,부정,중립
전주 출장 올 때마다 방문하게 됩니다 사장님 친절하게 맞이해 주시고 언제나 올 때마다 청결하고 깨끗합니다 입실하기 전에 로비와 복도에서 좋은 향기도 납니다 방 컨디션 좋고 냄새 없습니다 베개는 침대에 개 있고 도 상당히 큽니다 가지 서비스를 볼 수 있습니다 수건도 넉넉하게 있고요 커다란 비치타월이 있어서 개인적으로 좋았습니다 화장실도 깨끗하고 비데 설치되어 있네요 주차장은 넓은 편은 아니지만 주변에 주차할 곳이 많이 불편함은 없습니다 주변의 식당도 많이 있고 배달 앱 활성화도 많이 되어 있습니다 출장 시에 다시 방문하겠습니다 잘 쉬고 갑니다,긍정,중립
전날에 예약했음에도 불구하고 가보니 방이 다 나갔다고 맞은편 노이 호텔로 안내받았어요 일부러 미니멀 디럭스 말고 디럭스로 한 단계 높여서 예약했는데 안내받은 방은 미니멀이랑 크게 차이가 안 나 보였던 것 같은 느낌이라 무슨 차이인지 궁금했습니다 심지어 건물이 달라져서 비교해 볼 수도 없고 아쉽,부정,중립
역하고 가까운 거리 모텔 밀집 지역에 위치한 여러 업소 중 한 곳입니다 주변에 식당 및 편의점이 많아서 불편함이 없는 거 같아요 착한 가격에 웬만한 시설 커다란 티브이 욕조 스타일러 비데 넷플릭스 시청까지 두루 갖추어진 가성비가 너무 좋아요 사장님도 친절하시고 주차장도 그리 좁지 않아서 주차하는데 그다지 큰 불편함이 없었어요 혹시 만차 시 주변 공용주차장이나 인근 골목길에 주차해도 괜찮다고 하네요 참고로 욕실 바닥이 좀 미끄러운 편이니 조심하세요,긍정,중립
생각보다 방 사이즈가 매우 작더라고요 금연을 너무나도 강하게 어필해놔서 불쾌했고요 인포에 앉아있는 안경 쓴 여자분도 매우 불친절에 딱딱한 말투 거슬렸고요 다시는 이용하고 싶지 않은 곳이더라고요 된장 국입니다,부정,중립
아침식사 빼곤 보통이지만 그래도 전주에선 갈만한 듯,부정,중립
입실시간 빠르고 시간적 여유가 많아 만족합니다 주차할 곳 여유 있습니다 늦은 시간은 이용하지 않아서 잘 모름 그래도 여유 있을 것 같습니다 객실 청소 만족합니다 침대 시트는 호텔식으로 커버 상태 깨끗합니다 일회용품 충분합니다 수건 장 에어컨 정상작동 컴퓨터 설치 사용 안 했음 친절하고 주변 소음도 괜찮습니다 이중창인 것 같은데 조용한 욕조 설치 샤워 수압 정상 선풍기 비치 정상작동 빠른 입실 여유 있는 주차장 친절하고 객실 청소 침대 시트 일회용품 바닥청소 전체적으로 만족합니다 추천합니다,중립,긍정
전주 중화산동 모텔촌에 위치하고 있습니다 전북도청이랑 가깝고 한옥마을도 멀지 않아요 방은 적당하고 깨끗한 편입니다 창문이 커서 환기시키기에도 좋습니다 넷플릭스 가로 그 아웃되어 있어서 이용할 수 없는 상태였어요 에어컨 시원하고 선풍기도 설치되어 있습니다 침대는 적당하게 푹신해서 편하게 잘 수 있어요 샤워기 수압도 좋고 온 수도 잘 나와요 방에 기본으로 스타일러가 설치되어 있습니다 전주에 오면 다음에도 재방문할 의사는 있습니다 가운은 층에서 요청하셔야 합니다,중립,긍정
주변 모텔 중에 제일 깨끗하고 젛았습니다,중립,긍정
간만에 이용했어요 하지만 이번엔 객실이 청소를 조금 소홀히 하셨는지 냉장고에 음료 하나 있었고 세면대에 누렇게 물때가 많이 껴있었어요 평소엔 만족하면서 용하고 있습니다,부정,중립
담배 묵은 내가 심해요 예민한 분은 안 맞을 거 같아요,부정,중립
숙소 예뻐요 재방문입니다,긍정,부정
특실을 만 원대 가격으로 사용할 수 있었어요 너무 넓고 침대도 많고 좋았어요 내부도 청결하고요 다만 저희가 보일러를 어떻게 하는지 몰라 틀어놓기만 했다가 새벽에 약간 추웠어요 그래도 이불 덮고 자면 따뜻했답니다 너무 만족해요 다음에 또 여기서 자야지,중립,긍정
객실 청소상태는 양호합니다 수건은 위 사진처럼 많이 낡고 변색이 되어 걸레로 닦는 기분이었습니다 큰 문이 있어 좋았는데 방충망이 없어 무용지물입니다 욕실에 작은 창문이 높은 곳에 있는데 문이 열여있어 새벽에 모기 때문에 잠을 잘 수가 없었어요 스타일러에 바지 걸이 같은 건 누군가가 가져갔나 봅니다 스타일러가 있어 좋았어요 방충망이나 수건 같은 거 신경 좀 쓰시면 좋을 거 같습니다,중립,긍정
처음엔 깨끗해 보여서 좋았는데요 방음이 전혀 안되어서 정확히 시분에 잠들었네요 티브이 소리 대화소리 심지어 술 따르는 소리가 들려서 도저히 힘들어서 프런트에 말씀드리니 투숙객이라고 소리 지르고 가족여행이었는데 아 괴로웠네요 프런트는 친절했는데 방음에 문제가 많았어요 이 부분만 개선되면 좋겠어요,부정,중립
방들이 다 깔끔해요 그리고 만 오천 원에 대실 이용할 수 있다는 게 제일 가장 장점 단골 될 거예요,중립,긍정
늘 호텔 새로 인테리어 공사를 한 것 같아요 분위기가 상당히 좋아졌고요 이제는 늘을 자주 이용하려고요 다음에도 또 방문하겠습니다 앞에 방을 원하지 않아서 다른 방 받을 수 있는지 물어봤는데 업그레이드해 주셔서 감사했습니다 너무너무 편하게 쉬다 갑니다 물도 방에 올라가면서 더 추가로 들고 갈 수 있었고요 시끄러운 잡음도 크게 많이 들리진 않았어요 점점 여름이 다가오는데 이제는 시원하게 에어컨 필터 청소도 진행시켜주셨으면 좋겠습니다 여름에는 여기서 쉬려고요,긍정,중립
저번 이용 때 너무 좋아서 다시 이용했습니다 물이나 수건 더 필요하면 프런트에서 받아 가면 되고 자판기에 인 음료수 늦게 가면 품절된 음료수가 많으니 체크인 전에 들고 가시는 거 추천해요 두 번째 이용 때는 방충망에 담뱃재가 보였어요 누가 몰래 피고 뒷정리 안 하고 간 듯 저번 이용 때 너무 좋아서 다시 이용했습니다 물이나 수건 더 필요하면 프런트에서 받아 가면 되고 자판기에 인 음료수 늦게 가면 품절된 음료수가 많으니 체크인 전에 들고 가시는 거 추천해요 두 번째 이용 때는 방충망에 담뱃재가 보였어요 누가 몰래 피고 뒷정리 안 하고 간 듯,중립,긍정
지금까지 지냈던 숙소 중에 베스트입니다 또 방문하겠습니다,중립,부정
년 동안 열심히 일만 하고 퇴사 기념 살 딸과 박 일간의 랜덤 뽑기 전국 여행 중 마지막 숙소입니다 전주 난장에서의 재미를 그대로 이어온 최고의 호텔 입구에서부터 화장실까지 그냥 완벽 그 자체 어린 딸과의 여행이라 나름 후기 꼼꼼하게 읽어보고 예약했는데 실망스러운 곳이 많았어요 여기는 정말 담배 냄새 도 안 나고 청결하고 감성 미쳤고 진짜 난리 난리 전주 또 올 거예요 전국 여행의 마지막 도시 아름다운 추억으로 마무리할 수 있게 해주셔서 감사합니다,중립,긍정
화장실은 아쉬웠지만 개별난방이라 뜨겁게 잘 수 있었고 침대는 너무 푹신해서 좋았습니다,중립,부정
좋은 숙소입니다 시설에 비해 가격이 저렴해요 스타일러도 좋은 게 설치되어 있었습니다 하지만 아쉬운 점도 있었습니다 전기장판 외에는 난방이 안 되는 건지 이불 밖으로 내놓은 팔이 시리더라고요 화장실에는 샤워기를 걸어놓는 고리가 없어서 샤워기를 들고 샤워를 했습니다 이러면 물을 많이 쓰게 되는데 빨리 수리가 되면 좋겠네요,중립,부정
전주역에서 내려오면 금방인 가까운 위치입니다 위아래로 식당가도 있고 편의점도 붙어있어서 뭐든 먹을 때 편리합니다 층 카페테리아에는 강냉이 커피 등 간단히 먹을 수 있는 것들이 제공됩니다 아침에는 조식도 있고요 객실은 적당한 크기의 공간에 화장실도 답답하지 않은 크기로 붙어있습니다 티브이로는 유튜브 시청이 가능하기로 되는데 넷플릭스 등을 이용할 수 있는 게 많네요 숙박 시 입태실 시간이 입실 시 퇴실 시로 굉장히 여유로운 편입니다 지하공간에 즐길 것도 많아서 추천합니다,부정,중립
침대가 너무 푹신해요 근데 티브이가 자꾸 한 번씩 화면이 나갔다가 돌아와요,부정,중립
출장 때문에 이용함 그냥 잠만 자는 정도,부정,중립
대실이 시간이나 되는 데라서 벌써부터 추천드려요 주말에 이용하는 건데도 굉장히 저렴하고 가성비 있어요 숙소 자체가 막 엄청 좋다거나 그렇지는 않은데 그래도 이 가격이 이 정도 하는 숙소 없습니다 이번에 배정받은 숙소는 좀 작은 편이더라고요 그래서 음식 배달 시켜 먹을 때 책상이 없어서 조금 불편했어요 그리고 방음이 잘 안되긴 하더라고요 햇빛이 너무 잘 들어와서 밝았어요 영화를 보는데 밝아서 조금 불편했어요 그래도 편하게 쉴 수 있어서 좋았습니다,중립,긍정
꽃구경이랑 한옥마을 구경하고 잘 쉬고 왔어요 다음 여행 시 꼭 추천할게요,중립,긍정
굉장히 저렴한 가격에 깨끗한 시설 이용할 수 있어서 좋았습니다 시내 한복판이지만 전혀 시끄럽지 않아 만족하며 숙박할 수 있었습니다 다음에도 이용하고 싶습니다,중립,긍정
너무 깨끗하고 뜨거운 물도 잘 나와서 아주 잘 쉬다가 갑니다,중립,긍정
대실 시간을 이용하였습니다 인치 티비 방을 예약하였구 앞에 노이호텔과 같이 하시는건지 자리를 비우셨는데 전화도 안받으시고조금 기다렸구요 방은 티비도 진짜크고 화질도좋고 너무 좋았고 스타일러 안마의자 욕조 다좋았지만 전부 조금씩 부족했습니다 스타일러는 객실청소할때 물통이랑 필터를 안비우시는지 필터갈아달라고 계속 안내문구가 나오고 물통도 처음쓰는데 꽉차있어서 제가비웠네요 안마의자는 다좋은데 발부분이 고장난건지 뒤로 누우면 같이 안올라오더군요종아리까지만 되더라구용 이게제일 최악 화장실이 욕조랑 욕조안 샤워기하나 그리고 샤워공간에 샤워기 개가 있습니다 그런데 욕조샤워기는 줄이짧아서 서서 샤워는 못할정도라서 샤워공간 샤워기를 이용해야되는데 찬물밖에 안나오더라구요뜨거운물쪽 틀으면 물이 그냥 끊어집니다 아무것도 안나와요진짜 얼어죽는줄 알았습니다 제가 키도큰편이라 욕조샤워기는 짧아서 쓰지도못하고 이거는 고쳐주셨음 좋겠습니다 근데 그거빼고는 티비는 짱입니다 크고 화질도좋고 아주 최고였습니다,부정,긍정
진주 출장 와서 이용했습니다 방은 랜덤이지만 적당한 방 크기에 욕조 작지만 이용에 부족함 없고 작지만 넷플릭스 잘되고 스타일러도 있고 주차장 걱정 없고 혼자 출장에는 딱이네요 잘 자고 갑니다,중립,긍정
장점 룸 컨디션이 생각보다 좋았어요 트윈침대를 붙여서 한 개의 침대로 되어있었는데 넓고 푹식해서 그게 가장 맘에 들었습니다 화장실도 너무 깔끔하고 드라이기도 좋았어요 아쉬운 점 엘리베이터가 두 개인데 프런트가 층이고 객실이 층까지 있어서 엄청나게 오래 걸리고 한번 놓치면 본 이상 기다려야 합니다 주변에 맛집 같은 게 거의 없어요 거의 사들고 와야 합니다 주차장에 주차하기가 빡셉니다 층까지 주차장인데 장애인 주차장과 전기차 전용 그리고 층은 지하인가 골프장이 있어서 골프장 주차장이라 실질적으로 호텔 이용자가 이용할 수 있는 주차장이 많지 않아서 층 모퉁이나 구석에다가 대야 합니다,중립,긍정
오래된 숙박시설이지만 청결합니다,중립,긍정
방이 은근 크고 티브이가 진짜 정말 크네요 화장실도 깨끗하네 요 침대도 크고요 이불도 따듯하고 전기장판도 있어서 완 전 따듯해요 완전 잘 쉬다 갑니다 정말 최고예요 매번 갈 때마다 후회 한적 없던 거 같아요 빵도 먹을 수 있고 빵이 진짜 맛있어요 전자레인지도 있고 물도 원하는 만큼 가져갈 수 있어 요 젓가락 숟가락도 있고 세면도구에 필요한 거는 다 있어 요 아주 만족스럽습니다 암막 커튼도 있고요 전기포트도 있고 신발도 있어 편하네요,부정,중립
아무래도 오래된 건물이라 어쩔 수 없는 부분들이 있지만 그래도 잠만 자기엔 조용하니 괜찮아요,중립,긍정
숙소 청결도 숙소 청결하고 냄새 좋고 침구도 깨끗해요 수압 수압 세고 화장실 물도 잘 내려가요 주차 주차가 할 말이 많은데 발레해 주신다고 차 키 가져가서 다른 숙박객에게 주차 대신 시키시면 어떡합니까,중립,부정
객실 청소가 잘 되어있고 청결,중립,부정
먼저 준 방에서 전 손님이 담배를 피웠었는지 냄새가 심해서 방 바꿀 수 있는지 전화드렸더니 바로 안내해 주시고 바뀐 방 괜찮냐고 전화 주시고 확인해 주시고 죄송하다고 하셨어요 바뀐 방은 공기 쾌적하고 향도 좋았어요 그리고 친절해서 감사했습니다 방에서 담배 왜 피나요,중립,부정
바닥이 엄청 차갑고 하루 종일 냉기가 돌아서 기장 장판 싫어하는데 전기장판 키고 잤네요 엘리베이터 바로 옆방이었는데 다른 호실 문 열고 닫을 때마다 공기 압력 때문인지 내 방문이 계속 열리려고 하는 그런 소리와 느낌이 나서 계속 신경 쓰였네요 나가면 바로 앞에 편의점이 있어서 편했고 근처에 조금 걸으면 음식점이 있어서 좋았습니다 약분 거리에 은해 장국 있는데 해장국이 원인데 별로였다는 주차공간은 넉넉한 편이었어요 전체적으로 중간 정도의 숙소라고 생각됩니다,부정,중립
지은지 얼마 안 된 곳이라고 해서 이용했습니다 체인이라 들었고 그래서 기본 서비스하겠다는 생각이 들었고 생각한 대로 깨끗했습니다 한옥마을 가까운 점이 관광에 편리합니다,중립,긍정
매트리스 쿠션이 몸 전체를 포근히 감싸줘요 청결 상태 또한 별 다섯 개입니다,중립,부정
전주 출장 올 때마다 들러요 담배 냄새도 안 나고 좋습니다,중립,긍정
명 자기엔 딱 좋아요 다만 엘베가 없어요 짐 있는 분들 힘든듯해요,긍정,중립
스탠더드 선택했어요 주차장은 넓어서 좋았어요 급하게 그나마 싼 곳 잡은 건데 밑에 클럽이 있어서 좀 시끄러웠지만 많이 피곤해서 잠드는데 방해되진 안 있지만 새벽에 한번 깼었고 화장실에 문이 없네요 싼 맛에 출장 오는 사람들은 괜찮지만 쉬러 가시는 분들은 아쉬울 거 같아요 급하게 그나마 싼 곳 잡은 건데 밑에 클럽이 있어서 좀 시끄러웠지만 많이 피곤해서 잠드는데 방해되진 안 있지만 새벽에 한번 깼었고 화장실에 문이 없네요 싼 맛에 출장 오는 사람들은 괜찮지만 쉬러 가시는 분들은 아쉬울 거 같아요,중립,부정
객실 컨디션 노후된 시설에 인테리어 하신 거 같은데 뭔가 허술함 깨끗하지도 않음 오래돼서 냄배 냄새가 안 빠짐 어떤 부분이 가장 이용하기 좋았나 별로 다음에 또 방문하고 싶은 숙소 아뇨,긍정,중립
출장으로 자주 오는데 항상 대만족 단골이에요 라면도 무제한,긍정,중립
전주 친구들 모임 있을 때마다 안중리 숙소를 이용하는데 현재까지 이용했던 숙소 중에 가장 최고입니다 다음에 전주 방문할 때도 예약할게요,긍정,중립
출장 시 이용하는 숙소인 니나,중립,긍정
디즈니랑 넷플릭스 그리고 웨이브까지 다 나오는데 저렴해서 잘 놀다 갑니다 에어컨도 잘 나오고 비 오는 날은 슈드레서도 있어서 뽀송하게 밖 나갈 수 있어서 좋네요 나름 깨끗해요,중립,긍정
청결하고 다 새것 같은 느낌이에요 여름에 피서는 여기로 와야 할 듯요,중립,긍정
추천할 만한 숙소예요,긍정,중립
입실시간 빠르고 시간적 여유가 많아 만족합니다 친절하고 주변 소음도 적습니다 객실 청소상태 양호합니다 주차할 곳 여유 있습니다 주차장 지붕 설치 돼요 있습니다 일회용품 충분합니다 냉장고 생수 두 개 수거장 에어컨 정상작동 시원합니다 소음 없습니다 욕조설치 샤워기 수압 정상 사용하는데 불편함 없을 정도 침구 상태 깨끗합니다 호텔식 교체 시트 깨끗합니다 주변 편의점 여러 곳 있습니다 식당도 근처 있고 숙박에 불편함 없을 정도입니다 고객에 대한 친절도 만족합니다 이벤트 가격에 주위 업소보다 깨끗합니다 추천합니다,부정,중립
시설 괜찮네요 자주 올게요,중립,긍정
텐트 온돌침대 방을 아이들이 아주 좋아했고 그래서 박 머물렀습니다 시설 청결하고 일하는 분들 전반적으로 친절하십니다 단점은 보일러 컨트롤을 제어하지 못합니다 첫날은 진짜 냉방이었고 둘째 날은 너무 더워서 진짜 심한 몸살감기에 걸렸지만 침대만 있는 방이었으면 좀 덜 민감했을 거 같고 감기에 걸렸더라도 다시 방문할 의사가 있습니다 조식도 기대치 않게 잘 먹고 갑니다,중립,긍정
주위에 식당도 많아 밥 먹을 곳도 많습니다 바로 옆에 도 있어서 영화도 보고와도 좋았습니다 주차장도 자리가 넓어 잘 사용했습니다 지하주차장 도 있는 것으로 보이는데 저는 사용하진 않았네요 화장실이 아주 깨끗하고 욕조도 있어 좋았습니다 도 있어서 컴퓨터가 필요할 때 기본적인 작업도 가능할 것 같습니다 침구도 깨끗하고 전기장판도 좋았습니다 소파와 테이블도 있어서 여럿이 방문 시에도 간단한 식사나 맥주 등 먹기에 좋을 것 같습니다 충전기도 있어서 잘 썼습니다,중립,긍정
객실 청소 상태가 아쉬웠습니다,긍정,중립
객실 컨디션 좋고 끓여 먹는 라면 책인 할 때 아웃할 때 한 번씩 먹었네요 아이랑 둘이 방문했는데 정말 좋았어요 담배 냄새 전혀 없음요 재방문의 사 있습니다 프런트에 안경 쓰신 남자분 남자 천사네요 요즘 계절에 금귤 고마워 유,중립,긍정
장점 수압이 세다 주차장 넓다 단점 조식 방가 타 브라운 도트 대비 미흡 컴퓨터 상태가 별로 좋지 않다 객실에서 바깥으로 통하는 창문이 작아서 좀 답답,중립,긍정
전주 오면 항상 찾는 숙소,긍정,중립
이불 상태나 화장실 벽면 상태 욕조 상태는 별로였어요 가격 대비엔 괜찮았어요,중립,부정
시 넘어서 갔는데도 주차 자리 있을 정도로 주차장 넓었어요 친절 불친절할 것도 없이 이름 말하고 키 받아서 편하게 들어왔습니다 숙소 크기는 넓었고 청결 도는 무난했어요 스타일러 있어서 좋았습니다 침대 푹신했어요,중립,긍정
덕진공원이 가까운 위치라 좋습니다 방충망도 비교적 깨끗해서 너무 좋았어요 다만 온수를 틀면 수압이 약해지는 건 있더라고요 침대도 폭신한 편은 아니었습니다 그러나 넷플릭스도 이용 가능하고 욕조도 커서 좋았어요 욕실도 큰 편이고 샤워할 수 있는 공간과 변기가 나눠져있는 점도 좋았습니다 세면대는 침대 옆쪽에 있더라고요 컴퓨터도 두 대였고 고데기는 없어서 조금 아쉬웠습니다 청결하다는 점과 위치가 큰 장점이라서 저는 만족스러운 숙소였습니다,중립,긍정
시설은 깔끔한데 방바닥이나 침대에 머리카락과 먼지가 많네요,부정,중립
객실은 매우 깨끗하고 청소가 잘 되어 있었어요 침구류도 냄새나 얼룩 없이 청결했고요 매트리스에 민감한 편인데 푹신하니 아주 마음에 들었습니다 사장님도 친절하시고 앞으로 단골 예약입니다,긍정,중립
잘 쉬고 갔어요 늘 좋은 서비스 굿이에요 특히 스타일러스가 정말 마음에 들었어요 저녁에 고깃집에서 식사를 하는 탓에 코트에 냄새가 배었었는데 말끔하게 내새가 제거돼서 상쾌하게 입을 수 있었습니다 강추해요,부정,중립
가성비 갑 모텔이요 테이블이 덜렁거려서 바닥에서 밥 먹었어요 그 점만 고쳐주세요 이불에도 얼룩 너무 많고 다른 건 다 괜찮았어요 다음엔 조금 신경 써주세요,부정,중립
피시방 컴퓨터까진 아니지만 괜찮았어요 또 올게요,긍정,중립
깨끗하고 침대도 푹신푹신 주차가 좀 협소하긴 합니다,부정,중립
여행 왔다가 시간이 애매하게 남아서 잠깐 쉴 겸 일부러 안마의자 있는 곳 했는데 너무 잘 쉬었어요,부정,중립
벽에 벌레 잡힌 것들이 조금 있는 거 빼고 좋았어요 난방 너무 잘되고 저렴한 가격으로 따뜻하게 잘 자다 나온 것 같아요 방에 린스가 없어서 조금 아쉬웠어요 불도 훤히 켜지지 않고 난방은 지대로 잘 돼서 굿,중립,긍정
